REF_DATE,GEO,DGUID,Job tenure,Type of work,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,15 years and over,Persons,249,thousands,3,v2838274,1.1.1.1.1,18657.5,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2838409,1.1.1.1.2,2450.2,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,25 years and over,Persons,249,thousands,3,v2838301,1.1.1.1.3,16207.3,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2838328,1.1.1.1.4,8213.2,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,45 years and over,Persons,249,thousands,3,v2838355,1.1.1.1.5,7994.2,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2838382,1.1.1.1.6,12196.2,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,55 years and over,Persons,249,thousands,3,v2838436,1.1.1.1.7,4011.1,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,55 to 64 years,Persons,249,thousands,3,v2838463,1.1.1.1.8,3188.9,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Both sexes,65 years and over,Persons,249,thousands,3,v2838490,1.1.1.1.9,822.3,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,15 years and over,Persons,249,thousands,3,v2838517,1.1.1.2.1,9758.2,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,15 to 24 years,Persons,249,thousands,3,v2838652,1.1.1.2.2,1239.5,,,,1
2018,Canada,2016A000011124,Total employed,Both full and part-time employment,Males,25 years and over,Persons,249,thousands,3,v2838544,1.1.1.2.3,8518.7,,,,1
